arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0219,삼성,219,N,,05:30:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0218,종합운동장,218,N,05:31:30,05:32:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0217,잠실새내,217,N,05:33:30,05:34:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0216,잠실,216,N,05:35:30,05:36:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0215,잠실나루,215,N,05:37:30,05:38:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0214,강변,214,N,05:40:00,05:40:30,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0213,구의,213,N,05:41:30,05:42:00,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0212,건대입구,212,N,05:44:00,05:44:30,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0219,삼성,219,N,2호선,2025,0211,성수,211,N,05:46:00,,,2001,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0228,서울대입구,228,N,,05:30:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0227,낙성대,227,N,05:31:30,05:32:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0226,사당,226,N,05:34:00,05:35:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0225,방배,225,N,05:37:00,05:37:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0224,서초,224,N,05:39:30,05:40:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0223,교대,223,N,05:41:00,05:42:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0222,강남,222,N,05:43:30,05:44:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0221,역삼,221,N,05:45:00,05:45:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0220,선릉,220,N,05:47:00,05:47:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0219,삼성,219,N,05:49:00,05:49:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0218,종합운동장,218,N,05:51:00,05:51:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0217,잠실새내,217,N,05:53:00,05:53:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0216,잠실,216,N,05:55:00,05:55:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0215,잠실나루,215,N,05:57:00,05:57:30,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0214,강변,214,N,05:59:30,06:00:00,,2003,외선,2025-05-01T05:00:00,,주말
2호선,0211,성수,211,,20250619,2호선,0228,서울대입구,228,N,2호선,2031,0213,구의,213,N,06:01:00,06:01:30,,2003,외선,2025-05-01T05:00:00,,주말
