arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,05:30:00,,X0002,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,05:36:30,05:37:00,,X0002,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,05:44:00,05:44:30,,X0002,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,05:51:00,,,X0002,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,05:49:00,,X0004,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,05:55:30,05:56:00,,X0004,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,06:03:00,06:03:30,,X0004,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,06:10:00,,,X0004,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,06:09:00,,X0006,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,06:15:30,06:16:00,,X0006,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,06:23:00,06:23:30,,X0006,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,06:30:00,,,X0006,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,06:26:00,,X0008,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,06:32:30,06:33:00,,X0008,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,06:40:00,06:40:30,,X0008,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,06:47:00,,,X0008,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,06:43:00,,X0010,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,06:49:30,06:50:00,,X0010,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,06:57:00,06:57:30,,X0010,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,07:04:00,,,X0010,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,07:02:00,,X0012,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,07:08:30,07:09:00,,X0012,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,07:16:00,07:16:30,,X0012,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,07:23:00,,,X0012,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,07:22:00,,X0014,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,07:28:30,07:29:00,,X0014,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,07:36:00,07:36:30,,X0014,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,07:43:00,,,X0014,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,07:36:00,,X0016,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,07:42:30,07:43:00,,X0016,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,07:50:00,07:50:30,,X0016,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,07:57:00,,,X0016,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,07:55:00,,X0018,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,08:01:30,08:02:00,,X0018,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,08:09:00,08:09:30,,X0018,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,08:16:00,,,X0018,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,08:14:00,,X0020,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,08:20:30,08:21:00,,X0020,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,08:28:00,08:28:30,,X0020,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,08:35:00,,,X0020,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,08:28:00,,X0022,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,08:34:30,08:35:00,,X0022,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,08:42:00,08:42:30,,X0022,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,08:49:00,,,X0022,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,08:44:00,,X0024,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,08:50:30,08:51:00,,X0024,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,08:58:00,08:58:30,,X0024,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,09:05:00,,,X0024,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,09:00:00,,X0026,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,09:06:30,09:07:00,,X0026,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,09:14:00,09:14:30,,X0026,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,09:21:00,,,X0026,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,09:18:00,,X0028,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,09:24:30,09:25:00,,X0028,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,09:32:00,09:32:30,,X0028,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,09:39:00,,,X0028,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,09:30:00,,X0030,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,09:36:30,09:37:00,,X0030,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,09:44:00,09:44:30,,X0030,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,09:51:00,,,X0030,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,09:50:00,,X0032,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,09:56:30,09:57:00,,X0032,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,10:04:00,10:04:30,,X0032,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0008,수서,X108,N,10:11:00,,,X0032,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0011,동탄,X111,N,,10:14:00,,X0034,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0010,구성,X110,N,10:20:30,10:21:00,,X0034,상행,2025-05-01T05:00:00,,평일
GTX-A,0008,수서,X108,,20250812,GTX-A,0011,동탄,X111,N,GTX-A,,0009,성남,X109,N,10:28:00,10:28:30,,X0034,상행,2025-05-01T05:00:00,,평일
