arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0008,수서,X108,N,,05:45:00,,X0001,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0009,성남,X109,N,05:51:30,05:52:00,,X0001,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0010,구성,X110,N,05:59:00,05:59:30,,X0001,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0011,동탄,X111,N,06:06:00,,,X0001,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0008,수서,X108,N,,06:04:00,,X0003,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0009,성남,X109,N,06:10:30,06:11:00,,X0003,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0010,구성,X110,N,06:18:00,06:18:30,,X0003,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0011,동탄,X111,N,06:25:00,,,X0003,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0008,수서,X108,N,,06:13:00,,X0005,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0009,성남,X109,N,06:19:30,06:20:00,,X0005,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0010,구성,X110,N,06:27:00,06:27:30,,X0005,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0011,동탄,X111,N,06:34:00,,,X0005,하행,2025-05-01T05:00:00,,평일
GTX-A,0011,동탄,X111,,20250812,GTX-A,0008,수서,X108,N,GTX-A,,0008,수서,X108,N,,06:21:00,,X0007,하행,2025-05-01T05:00:00,,평일
