arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1511,여주,K420,N,,05:30:00,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1510,세종대왕릉,K419,N,05:34:30,05:35:00,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1509,부발,K418,N,05:41:00,05:41:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1508,이천,K417,N,05:45:00,05:45:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1507,신둔도예촌,K416,N,05:51:00,05:51:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1506,곤지암,K415,N,05:56:30,05:57:00,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1505,초월,K414,N,06:01:00,06:01:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1504,경기광주,K413,N,06:05:30,06:06:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1503,삼동,K412,N,06:10:30,06:11:00,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1502,이매,K411,N,06:16:00,06:16:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1512,성남,K410,N,06:18:00,06:18:30,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1501,판교,K409,N,06:20:30,,,K7502,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1511,여주,K420,N,,06:00:00,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1510,세종대왕릉,K419,N,06:04:30,06:05:00,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1509,부발,K418,N,06:11:00,06:11:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1508,이천,K417,N,06:15:00,06:15:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1507,신둔도예촌,K416,N,06:21:00,06:21:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1506,곤지암,K415,N,06:26:30,06:27:00,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1505,초월,K414,N,06:31:00,06:31:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1504,경기광주,K413,N,06:35:30,06:36:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1503,삼동,K412,N,06:40:30,06:41:00,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1502,이매,K411,N,06:46:00,06:46:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1512,성남,K410,N,06:48:00,06:48:30,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1511,여주,K420,N,경강선,,1501,판교,K409,N,06:50:30,,,K7504,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1509,부발,K418,N,,06:31:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1508,이천,K417,N,06:34:30,06:35:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1507,신둔도예촌,K416,N,06:40:30,06:41:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1506,곤지암,K415,N,06:46:00,06:46:30,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1505,초월,K414,N,06:50:30,06:51:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1504,경기광주,K413,N,06:55:00,06:56:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1503,삼동,K412,N,07:00:00,07:00:30,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1502,이매,K411,N,07:05:30,07:06:00,,K7506,상행,2025-05-01T05:00:00,,주말
경강선,1501,판교,K409,,20250619,경강선,1509,부발,K418,N,경강선,,1512,성남,K410,N,07:07:30,07:08:00,,K7506,상행,2025-05-01T05:00:00,,주말
