arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1285,임진강,K337,N,,10:00:00,,K2601,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1286,운천,K336,N,10:04:00,10:04:30,,K2601,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1284,문산,K335,N,10:10:30,,,K2601,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1285,임진강,K337,N,,16:10:00,,K2605,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1286,운천,K336,N,16:14:00,16:14:30,,K2605,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1284,문산,K335,N,16:20:30,,,K2605,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1285,임진강,K337,N,,17:45:00,,K2607,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1286,운천,K336,N,17:49:00,17:49:30,,K2607,하행,2025-05-01T05:00:00,,주말
경의선,1284,문산,K335,,20250619,경의선,1285,임진강,K337,N,경의선,,1284,문산,K335,N,17:55:30,,,K2607,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1014,청량리,K117,N,,05:33:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,101C,회기,K118,N,05:36:00,05:36:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1201,중랑,K119,N,05:39:00,05:39:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1202,상봉,K120,N,05:41:00,05:41:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1203,망우,K121,N,05:43:00,05:43:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1204,양원,K122,N,05:46:00,05:46:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1205,구리,K123,N,05:50:00,05:54:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1206,도농,K124,N,05:57:00,05:57:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1207,양정,K125,N,06:01:00,06:01:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1208,덕소,K126,N,06:04:30,06:05:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1209,도심,K127,N,06:07:00,06:07:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1210,팔당,K128,N,06:11:30,06:12:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1211,운길산,K129,N,06:17:00,06:17:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1212,양수,K130,N,06:19:30,06:20:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1213,신원,K131,N,06:24:00,06:24:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1214,국수,K132,N,06:27:30,06:28:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1215,아신,K133,N,06:31:30,06:32:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1216,오빈,K134,N,06:35:00,06:35:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1217,양평,K135,N,06:38:00,06:38:30,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1218,원덕,K136,N,06:44:00,06:49:00,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,1014,청량리,K117,N,경의선,,1219,용문,K137,N,06:53:30,,,K5001,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,100C,용산,K110,N,,05:33:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1008,이촌,K111,N,05:36:30,05:37:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1009,서빙고,K112,N,05:39:00,05:39:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1010,한남,K113,N,05:42:00,05:42:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1011,옥수,K114,N,05:44:30,05:45:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1012,응봉,K115,N,05:47:00,05:47:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1013,왕십리,K116,N,05:49:30,05:50:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1014,청량리,K117,N,05:53:30,05:54:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,101C,회기,K118,N,05:57:30,05:58:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1201,중랑,K119,N,06:00:30,06:01:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1202,상봉,K120,N,06:02:30,06:03:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1203,망우,K121,N,06:04:30,06:05:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1204,양원,K122,N,06:07:30,06:08:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1205,구리,K123,N,06:11:30,06:12:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1206,도농,K124,N,06:14:30,06:15:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1207,양정,K125,N,06:18:30,06:19:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1208,덕소,K126,N,06:22:00,06:22:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1209,도심,K127,N,06:24:30,06:25:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1210,팔당,K128,N,06:29:00,06:33:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1211,운길산,K129,N,06:38:00,06:39:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1212,양수,K130,N,06:41:00,06:42:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1213,신원,K131,N,06:46:00,06:51:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1214,국수,K132,N,06:54:00,06:54:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1215,아신,K133,N,06:58:00,06:58:30,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1216,오빈,K134,N,07:01:30,07:02:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1217,양평,K135,N,07:04:30,07:05:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1218,원덕,K136,N,07:10:30,07:11:00,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1219,용문,K137,N,07:15:30,,,K5003,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,100C,용산,K110,N,,05:57:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1008,이촌,K111,N,06:00:30,06:01:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1009,서빙고,K112,N,06:03:00,06:07:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1010,한남,K113,N,06:09:30,06:10:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1011,옥수,K114,N,06:12:00,06:12:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1012,응봉,K115,N,06:14:30,06:15:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1013,왕십리,K116,N,06:17:00,06:17:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1014,청량리,K117,N,06:21:00,06:22:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,101C,회기,K118,N,06:25:00,06:25:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1201,중랑,K119,N,06:28:00,06:32:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1202,상봉,K120,N,06:33:30,06:34:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1203,망우,K121,N,06:35:30,06:36:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1204,양원,K122,N,06:38:30,06:39:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1205,구리,K123,N,06:42:30,06:43:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1206,도농,K124,N,06:45:30,06:46:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1207,양정,K125,N,06:49:30,06:50:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1208,덕소,K126,N,06:53:00,06:53:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1209,도심,K127,N,06:55:30,06:56:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1210,팔당,K128,N,07:00:00,07:00:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1211,운길산,K129,N,07:05:30,07:06:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1212,양수,K130,N,07:08:00,07:08:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1213,신원,K131,N,07:12:30,07:13:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1214,국수,K132,N,07:16:00,07:16:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1215,아신,K133,N,07:20:00,07:24:30,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1216,오빈,K134,N,07:27:30,07:28:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1217,양평,K135,N,07:30:30,07:31:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1218,원덕,K136,N,07:36:30,07:37:00,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1219,용문,K137,,20250619,경의선,100C,용산,K110,N,경의선,,1219,용문,K137,N,07:42:00,,,K5005,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1271,능곡,K321,N,,05:48:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1270,행신,K320,N,05:50:30,05:51:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1269,강매,K319,N,05:52:30,05:53:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1268,한국항공대,K318,N,05:55:30,05:56:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1267,수색,K317,N,05:59:00,05:59:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1266,디지털미디어시티,K316,N,06:01:00,06:01:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1265,가좌,K315,N,06:03:30,06:04:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1264,홍대입구,K314,N,06:06:00,06:06:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1263,서강대,K313,N,06:08:00,06:08:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1262,공덕,K312,N,06:11:00,06:11:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1261,효창공원앞,K826,N,06:13:30,06:14:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,100C,용산,K110,N,06:17:00,06:17:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1008,이촌,K111,N,06:21:00,06:21:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1009,서빙고,K112,N,06:23:30,06:24:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1010,한남,K113,N,06:26:30,06:27:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1011,옥수,K114,N,06:29:00,06:29:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1012,응봉,K115,N,06:31:30,06:32:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1013,왕십리,K116,N,06:34:00,06:34:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1014,청량리,K117,N,06:38:00,06:39:00,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,101C,회기,K118,N,06:42:00,06:42:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1201,중랑,K119,N,06:45:00,06:45:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1202,상봉,K120,N,06:47:00,06:47:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1203,망우,K121,N,06:49:00,06:49:30,,K5007,하행,2025-05-01T05:00:00,,주말
경의선,1208,덕소,K126,,20250619,경의선,1271,능곡,K321,N,경의선,,1204,양원,K122,N,06:52:00,06:52:30,,K5007,하행,2025-05-01T05:00:00,,주말
