arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,05:50:00,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1316,금곡,P127,N,05:53:30,05:54:00,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1315,사릉,P126,N,05:57:00,05:57:30,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1314,퇴계원,P125,N,06:00:30,06:01:00,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1313,별내,P124,N,06:03:00,06:03:30,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1312,갈매,P123,N,06:05:00,06:05:30,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1311,신내,P122,N,06:08:30,06:09:00,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1310,망우,P121,N,06:11:30,06:12:30,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1309,상봉,P120,N,06:14:00,,,K8002,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,06:12:00,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1316,금곡,P127,N,06:15:30,06:16:00,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1315,사릉,P126,N,06:19:00,06:19:30,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1314,퇴계원,P125,N,06:22:30,06:23:00,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1313,별내,P124,N,06:25:00,06:25:30,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1312,갈매,P123,N,06:27:00,06:27:30,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1311,신내,P122,N,06:30:30,06:31:00,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1310,망우,P121,N,06:33:30,06:34:30,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1309,상봉,P120,N,06:36:00,,,K8004,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1329,춘천,P140,N,,05:29:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1328,남춘천,P139,N,05:32:00,05:32:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1327,김유정,P138,N,05:37:30,05:38:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1326,강촌,P137,N,05:43:30,05:44:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1325,백양리,P136,N,05:48:30,05:49:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1324,굴봉산,P135,N,05:52:00,05:52:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1323,가평,P134,N,05:56:30,05:57:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1322,상천,P133,N,06:02:30,06:03:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1321,청평,P132,N,06:07:00,06:07:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1320,대성리,P131,N,06:13:30,06:14:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1319,마석,P130,N,06:19:30,06:20:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1318,천마산,P129,N,06:22:00,06:22:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1317,평내호평,P128,N,06:26:00,06:26:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1316,금곡,P127,N,06:30:00,06:30:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1315,사릉,P126,N,06:33:30,06:34:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1314,퇴계원,P125,N,06:37:00,06:37:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1313,별내,P124,N,06:39:30,06:40:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1312,갈매,P123,N,06:41:30,06:42:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1311,신내,P122,N,06:45:00,06:45:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1310,망우,P121,N,06:48:00,06:49:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1309,상봉,P120,N,06:50:30,06:51:00,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1308,중랑,P119,N,06:53:00,06:53:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1307,회기,P118,N,06:56:00,06:56:30,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1306,청량리,P117,N,06:59:30,,,K8006,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1329,춘천,P140,N,,06:10:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1328,남춘천,P139,N,06:13:00,06:13:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1327,김유정,P138,N,06:18:30,06:19:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1326,강촌,P137,N,06:24:30,06:25:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1325,백양리,P136,N,06:29:30,06:30:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1324,굴봉산,P135,N,06:33:00,06:33:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1323,가평,P134,N,06:37:30,06:38:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1322,상천,P133,N,06:43:30,06:44:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1321,청평,P132,N,06:48:00,06:48:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1320,대성리,P131,N,06:54:30,06:55:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1319,마석,P130,N,07:00:30,07:01:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1318,천마산,P129,N,07:03:00,07:03:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1317,평내호평,P128,N,07:07:00,07:07:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1316,금곡,P127,N,07:11:00,07:11:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1315,사릉,P126,N,07:14:30,07:15:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1314,퇴계원,P125,N,07:18:00,07:18:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1313,별내,P124,N,07:20:30,07:21:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1312,갈매,P123,N,07:22:30,07:23:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1311,신내,P122,N,07:26:00,07:26:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1310,망우,P121,N,07:29:00,07:30:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1309,상봉,P120,N,07:31:30,07:32:00,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1308,중랑,P119,N,07:34:00,07:34:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1307,회기,P118,N,07:37:00,07:37:30,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1306,청량리,P117,N,07:40:30,,,K8008,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1329,춘천,P140,N,,06:49:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1328,남춘천,P139,N,06:52:00,06:52:30,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1327,김유정,P138,N,06:57:30,06:58:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1326,강촌,P137,N,07:03:30,07:04:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1325,백양리,P136,N,07:08:30,07:09:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1324,굴봉산,P135,N,07:12:00,07:12:30,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1323,가평,P134,N,07:16:30,07:17:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1322,상천,P133,N,07:22:30,07:23:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1321,청평,P132,N,07:27:00,07:27:30,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1320,대성리,P131,N,07:33:30,07:34:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1319,마석,P130,N,07:39:30,07:44:00,,K8010,상행,2025-05-01T05:00:00,,주말
경춘선,1309,상봉,P120,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1318,천마산,P129,N,07:46:00,07:46:30,,K8010,상행,2025-05-01T05:00:00,,주말
