arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,05:12:00,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1316,금곡,P127,N,05:15:30,05:16:00,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1315,사릉,P126,N,05:19:00,05:19:30,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1314,퇴계원,P125,N,05:22:30,05:23:00,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1313,별내,P124,N,05:25:00,05:25:30,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1312,갈매,P123,N,05:27:00,05:27:30,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1311,신내,P122,N,05:30:30,05:31:00,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1310,망우,P121,N,05:33:30,05:34:30,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1309,상봉,P120,N,05:36:00,,,K8002,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,05:30:00,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1316,금곡,P127,N,05:33:30,05:34:00,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1315,사릉,P126,N,05:37:00,05:37:30,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1314,퇴계원,P125,N,05:40:30,05:41:00,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1313,별내,P124,N,05:43:00,05:43:30,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1312,갈매,P123,N,05:45:00,05:45:30,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1311,신내,P122,N,05:48:30,05:49:00,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1310,망우,P121,N,05:51:30,05:52:30,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1309,상봉,P120,N,05:54:00,,,K8004,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,05:43:00,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1316,금곡,P127,N,05:46:30,05:47:00,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1315,사릉,P126,N,05:50:00,05:50:30,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1314,퇴계원,P125,N,05:53:30,05:54:00,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1313,별내,P124,N,05:56:00,05:56:30,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1312,갈매,P123,N,05:58:00,05:58:30,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1311,신내,P122,N,06:01:30,06:02:00,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1310,망우,P121,N,06:04:30,06:05:30,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1309,상봉,P120,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1309,상봉,P120,N,06:07:00,,,K8006,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1329,춘천,P140,N,,05:00:00,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1328,남춘천,P139,N,05:03:00,05:03:30,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1327,김유정,P138,N,05:08:30,05:09:00,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1326,강촌,P137,N,05:14:30,05:15:00,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1325,백양리,P136,N,05:19:30,05:20:00,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1324,굴봉산,P135,N,05:23:00,05:23:30,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1323,가평,P134,N,05:27:30,05:28:00,,K8008,상행,2025-05-01T05:00:00,,평일
경춘선,1306,청량리,P117,,20250619,경춘선,1329,춘천,P140,N,경춘선,,1322,상천,P133,N,05:33:30,05:34:00,,K8008,상행,2025-05-01T05:00:00,,평일
