arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1309,상봉,P120,N,,05:30:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1310,망우,P121,N,05:31:30,05:32:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1311,신내,P122,N,05:35:00,05:35:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1312,갈매,P123,N,05:38:30,05:39:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1313,별내,P124,N,05:40:30,05:41:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1314,퇴계원,P125,N,05:43:00,05:43:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1315,사릉,P126,N,05:46:30,05:47:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1316,금곡,P127,N,05:50:00,05:50:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1317,평내호평,P128,N,05:54:00,05:54:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1318,천마산,P129,N,05:58:00,05:58:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1319,마석,P130,N,06:00:30,06:01:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1320,대성리,P131,N,06:06:30,06:07:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1321,청평,P132,N,06:13:00,06:13:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1322,상천,P133,N,06:17:30,06:18:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1323,가평,P134,N,06:23:30,06:24:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1324,굴봉산,P135,N,06:28:00,06:28:30,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1325,백양리,P136,N,06:31:30,06:32:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1326,강촌,P137,N,06:36:30,06:37:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1327,김유정,P138,N,06:42:30,06:43:00,,K8001,하행,2025-05-01T05:00:00,,주말
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1328,남춘천,P139,N,06:48:00,06:48:30,,K8001,하행,2025-05-01T05:00:00,,주말
