arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1317,평내호평,P128,N,,05:10:00,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1318,천마산,P129,N,05:13:30,05:14:00,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1319,마석,P130,N,05:16:00,05:16:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1320,대성리,P131,N,05:22:00,05:22:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1321,청평,P132,N,05:28:30,05:29:00,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1322,상천,P133,N,05:33:00,05:33:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1323,가평,P134,N,05:39:00,05:39:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1324,굴봉산,P135,N,05:43:30,05:44:00,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1325,백양리,P136,N,05:47:00,05:47:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1326,강촌,P137,N,05:52:00,05:52:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1327,김유정,P138,N,05:58:00,05:58:30,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1328,남춘천,P139,N,06:03:30,06:04:00,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1317,평내호평,P128,N,경춘선,,1329,춘천,P140,N,06:07:00,,,K8001,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1309,상봉,P120,N,,05:10:00,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1310,망우,P121,N,05:11:30,05:12:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1311,신내,P122,N,05:15:00,05:15:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1312,갈매,P123,N,05:18:30,05:19:00,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1313,별내,P124,N,05:20:30,05:21:00,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1314,퇴계원,P125,N,05:23:00,05:23:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1315,사릉,P126,N,05:26:30,05:27:00,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1316,금곡,P127,N,05:30:00,05:30:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1317,평내호평,P128,N,05:34:00,05:34:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1318,천마산,P129,N,05:38:00,05:38:30,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1319,마석,P130,N,05:40:30,05:41:00,,K8003,하행,2025-05-01T05:00:00,,평일
경춘선,1329,춘천,P140,,20250619,경춘선,1309,상봉,P120,N,경춘선,,1320,대성리,P131,N,05:46:30,05:47:00,,K8003,하행,2025-05-01T05:00:00,,평일
