arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4201,서울역,A01,N,,05:20:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4202,공덕,A02,N,05:24:00,05:24:30,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4203,홍대입구,A03,N,05:27:30,05:28:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4204,디지털미디어시티,A04,N,05:31:30,05:32:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4206,마곡나루,A042,N,05:39:00,05:39:30,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4207,김포공항,A05,N,05:42:00,05:42:30,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4208,계양,A06,N,05:48:30,05:49:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4209,검암,A07,N,05:54:30,05:55:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4210,청라국제도시,A071,N,05:59:30,06:00:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4217,영종,A072,N,06:08:00,06:08:30,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4211,운서,A08,N,06:12:00,06:12:30,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4212,공항화물청사,A09,N,06:16:30,06:17:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4213,인천공항1터미널,A10,N,06:20:00,06:21:00,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4215,인천공항2터미널,A11,N,06:26:30,,,A2001,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4201,서울역,A01,N,,05:40:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4202,공덕,A02,N,05:44:00,05:44:30,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4203,홍대입구,A03,N,05:47:30,05:48:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4204,디지털미디어시티,A04,N,05:51:30,05:52:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4206,마곡나루,A042,N,05:59:00,05:59:30,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4207,김포공항,A05,N,06:02:00,06:02:30,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4208,계양,A06,N,06:08:30,06:09:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4209,검암,A07,N,06:14:30,06:15:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4210,청라국제도시,A071,N,06:19:30,06:20:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4217,영종,A072,N,06:28:00,06:28:30,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4211,운서,A08,N,06:32:00,06:32:30,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4212,공항화물청사,A09,N,06:36:30,06:37:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4213,인천공항1터미널,A10,N,06:40:00,06:41:00,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4215,인천공항2터미널,A11,N,06:46:30,,,A2003,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4201,서울역,A01,N,,05:59:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4202,공덕,A02,N,06:03:00,06:03:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4203,홍대입구,A03,N,06:06:30,06:07:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4204,디지털미디어시티,A04,N,06:10:30,06:11:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4206,마곡나루,A042,N,06:18:00,06:18:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4207,김포공항,A05,N,06:21:00,06:21:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4208,계양,A06,N,06:27:30,06:28:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4209,검암,A07,N,06:33:30,06:35:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4210,청라국제도시,A071,N,06:40:00,06:40:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4217,영종,A072,N,06:48:30,06:49:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4211,운서,A08,N,06:52:30,06:53:00,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4212,공항화물청사,A09,N,06:57:00,06:57:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4213,인천공항1터미널,A10,N,07:00:30,07:01:30,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4215,인천공항2터미널,A11,N,07:07:00,,,A2005,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4201,서울역,A01,N,,06:14:00,,A2007,하행,2025-05-01T05:00:00,,주말
공항철도,4215,인천공항2터미널,A11,,20250619,공항철도,4201,서울역,A01,N,공항철도,,4202,공덕,A02,N,06:18:00,06:18:30,,A2007,하행,2025-05-01T05:00:00,,주말
