arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4815,원시,S28,N,,06:42:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4814,시우,S27,N,06:44:30,06:45:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4813,초지,S26,N,06:47:00,06:48:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4812,선부,S25,N,06:51:00,06:51:30,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4811,달미,S24,N,06:54:00,06:54:30,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4810,시흥능곡,S23,N,06:57:30,06:58:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4809,시흥시청,S22,N,07:00:00,07:00:30,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4808,신현,S20,N,07:06:00,07:06:30,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4807,신천,S19,N,07:11:00,07:11:30,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4806,시흥대야,S18,N,07:13:30,07:14:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4805,소새울,S17,N,07:17:30,07:18:00,,K7102,상행,2025-12-01T05:00:00,,평일
서해선,108C,일산,S07,,20251208,서해선,4815,원시,S28,N,서해선,,4804,소사,S16,N,07:21:00,07:21:30,,K7102,상행,2025-12-01T05:00:00,,평일
