arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,108C,일산,S07,N,,05:32:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,107C,풍산,S08,N,05:34:00,05:34:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,106C,백마,S09,N,05:36:30,05:37:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,105C,곡산,S10,N,05:39:00,05:39:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,103C,대곡,S11,N,05:42:30,05:43:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,104C,능곡,S12,N,05:45:30,05:46:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,1980,김포공항,S13,N,05:55:30,05:56:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,1981,원종,S14,N,06:00:30,06:01:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,1982,부천종합운동장,S15,N,06:03:30,06:04:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4804,소사,S16,N,06:07:30,06:08:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4805,소새울,S17,N,06:11:00,06:11:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4806,시흥대야,S18,N,06:15:00,06:15:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4807,신천,S19,N,06:17:30,06:18:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4808,신현,S20,N,06:22:30,06:23:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4809,시흥시청,S22,N,06:28:30,06:29:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4810,시흥능곡,S23,N,06:31:00,06:31:30,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4811,달미,S24,N,06:34:30,06:35:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4812,선부,S25,N,06:37:30,06:38:00,,K7101,하행,2025-12-01T05:00:00,,주말
서해선,4815,원시,S28,,20251208,서해선,108C,일산,S07,N,서해선,,4813,초지,S26,N,06:41:00,06:42:00,,K7101,하행,2025-12-01T05:00:00,,주말
