arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4319,광교,D19,N,,05:30:00,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4318,광교중앙,D18,N,05:32:56,05:33:21,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4317,상현,D17,N,05:36:06,05:36:36,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4316,성복,D16,N,05:39:10,05:39:40,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4315,수지구청,D15,N,05:41:47,05:42:17,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4314,동천,D14,N,05:44:39,05:45:09,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4313,미금,D13,N,05:47:21,05:47:51,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4312,정자,D12,N,05:49:51,05:50:21,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4311,판교,D11,N,05:53:01,05:53:31,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4310,청계산입구,D10,N,05:59:34,05:59:59,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4309,양재시민의숲,D9,N,06:02:29,06:02:59,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4308,양재,D8,N,06:04:43,06:05:13,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4307,강남,D7,N,06:06:57,06:07:32,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4306,신논현,D6,N,06:08:39,06:09:11,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4305,논현,D5,N,06:10:16,06:10:49,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4319,광교,D19,N,신분당선,,4304,신사,D4,N,06:11:54,,,SA001,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4312,정자,D12,N,신분당선,,4312,정자,D12,N,,05:30:00,,SA002,상행,2025-05-01T05:00:00,,주말
신분당선,4304,신사,D4,,20250619,신분당선,4312,정자,D12,N,신분당선,,4311,판교,D11,N,05:32:40,05:33:10,,SA002,상행,2025-05-01T05:00:00,,주말
