arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4304,신사,D4,N,,05:30:00,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4305,논현,D5,N,05:30:58,05:31:31,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4306,신논현,D6,N,05:32:41,05:33:13,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4307,강남,D7,N,05:34:21,05:34:56,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4308,양재,D8,N,05:36:34,05:37:04,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4309,양재시민의숲,D9,N,05:38:45,05:39:15,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4310,청계산입구,D10,N,05:41:45,05:42:10,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4311,판교,D11,N,05:48:13,05:48:43,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4312,정자,D12,N,05:51:31,05:52:01,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4313,미금,D13,N,05:54:11,05:54:41,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4314,동천,D14,N,05:56:49,05:57:19,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4315,수지구청,D15,N,05:59:43,06:00:13,,GW001,하행,2025-05-01T05:00:00,,주말
신분당선,4319,광교,D19,,20250619,신분당선,4304,신사,D4,N,신분당선,,4316,성복,D16,N,06:02:15,06:02:45,,GW001,하행,2025-05-01T05:00:00,,주말
