arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4506,초당,Y115,N,,05:30:40,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4505,동백,Y114,N,05:32:10,05:32:40,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4504,어정,Y113,N,05:34:10,05:34:40,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4503,지석,Y112,N,05:35:10,05:35:40,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4502,강남대,Y111,N,05:37:10,05:37:40,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4506,초당,Y115,N,용인경전철,,4501,기흥,Y110,N,05:38:10,,,E0002,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4512,용인중앙시장,Y120,N,,05:30:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4511,김량장,Y119,N,05:31:10,05:31:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4510,명지대,Y118,N,05:32:10,05:32:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4509,시청.용인대,Y117,N,05:34:10,05:34:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4508,삼가,Y116,N,05:35:10,05:35:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4506,초당,Y115,N,05:40:10,05:40:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4505,동백,Y114,N,05:42:10,05:42:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4504,어정,Y113,N,05:44:10,05:44:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4503,지석,Y112,N,05:45:10,05:45:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4502,강남대,Y111,N,05:47:10,05:47:40,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4512,용인중앙시장,Y120,N,용인경전철,,4501,기흥,Y110,N,05:48:10,,,E0004,상행,2025-05-01T05:00:00,,주말
용인경전철,4501,기흥,Y110,,20250619,용인경전철,4517,전대.에버랜드,Y126,N,용인경전철,,4517,전대.에버랜드,Y126,N,,05:30:40,,E0006,상행,2025-05-01T05:00:00,,주말
