arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4615,탑석,U125,N,,05:00:00,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4614,송산,U124,N,05:00:33,05:01:03,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4613,어룡,U123,N,05:01:46,05:02:16,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4612,곤제,U122,N,05:03:18,05:03:48,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4611,효자,U121,N,05:04:45,05:05:15,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4610,경기도청북부청사,U120,N,05:05:57,05:06:27,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4609,새말,U119,N,05:07:13,05:07:43,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4608,동오,U118,N,05:08:26,05:08:59,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4607,의정부중앙,U117,N,05:09:57,05:10:27,,1002,상행,2025-05-01T05:00:00,,평일
의정부경전철,4601,발곡,U110,,20250619,의정부경전철,4615,탑석,U125,N,의정부경전철,,4606,흥선,U115,N,05:11:32,05:12:02,,1002,상행,2025-05-01T05:00:00,,평일
