arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3125,예술회관,I125,N,05:31:30,05:32:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3126,인천터미널,I126,N,05:33:00,05:33:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3127,문학경기장,I127,N,05:34:30,05:35:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3128,선학,I128,N,05:36:00,05:36:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3129,신연수,I129,N,05:38:00,05:38:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3130,원인재,I130,N,05:39:30,05:40:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3131,동춘,I131,N,05:41:30,05:42:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3132,동막,I132,N,05:43:30,05:44:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3133,캠퍼스타운,I133,N,05:46:00,05:46:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3134,테크노파크,I134,N,05:47:30,05:48:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3135,지식정보단지,I135,N,05:50:00,05:50:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3136,인천대입구,I136,N,05:51:30,05:52:00,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3137,센트럴파크,I137,N,05:53:00,05:53:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3138,국제업무지구,I138,N,05:55:00,05:55:30,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3125,예술회관,I125,N,인천선,,3139,송도달빛축제공원,I139,N,05:56:30,,,1001,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3116,작전,I116,N,05:29:30,05:30:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3117,갈산,I117,N,05:31:30,05:32:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3118,부평구청,I118,N,05:33:30,05:34:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3119,부평시장,I119,N,05:35:30,05:36:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3120,부평,I120,N,05:37:00,05:37:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3121,동수,I121,N,05:39:00,05:39:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3122,부평삼거리,I122,N,05:41:00,05:41:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3123,간석오거리,I123,N,05:43:00,05:43:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3124,인천시청,I124,N,05:46:00,05:46:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3125,예술회관,I125,N,05:48:00,05:48:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3126,인천터미널,I126,N,05:49:30,05:50:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3127,문학경기장,I127,N,05:51:00,05:51:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3128,선학,I128,N,05:52:30,05:53:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3129,신연수,I129,N,05:54:30,05:55:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3130,원인재,I130,N,05:56:00,05:56:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3131,동춘,I131,N,05:58:00,05:58:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3132,동막,I132,N,06:00:00,06:00:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3133,캠퍼스타운,I133,N,06:02:30,06:03:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3134,테크노파크,I134,N,06:04:00,06:04:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3135,지식정보단지,I135,N,06:06:30,06:07:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3136,인천대입구,I136,N,06:08:00,06:08:30,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3137,센트럴파크,I137,N,06:09:30,06:10:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3138,국제업무지구,I138,N,06:11:30,06:12:00,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3116,작전,I116,N,인천선,,3139,송도달빛축제공원,I139,N,06:13:00,,,1003,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3112,박촌,I112,N,인천선,,3112,박촌,I112,N,05:29:30,05:30:00,,1005,하행,2025-06-28T05:00:00,,평일
인천선,3139,송도달빛축제공원,I139,,20250627,인천선,3112,박촌,I112,N,인천선,,3113,임학,I113,N,05:31:30,05:32:00,,1005,하행,2025-06-28T05:00:00,,평일
